,name,yearmin,part_num,decade,5year
0,"Bars, Ladders and Fences",1967,3,1960,1965
1,"Bars, Ladders and Fences",1968,4,1960,1965
2,"Bars, Ladders and Fences",1969,3,1960,1965
3,"Bars, Ladders and Fences",1971,2,1970,1970
4,"Bars, Ladders and Fences",1972,1,1970,1970
5,"Bars, Ladders and Fences",1976,1,1970,1975
6,"Bars, Ladders and Fences",1979,4,1970,1975
7,"Bars, Ladders and Fences",1980,3,1980,1980
8,"Bars, Ladders and Fences",1981,1,1980,1980
9,"Bars, Ladders and Fences",1983,1,1980,1980
10,"Bars, Ladders and Fences",1985,7,1980,1985
11,"Bars, Ladders and Fences",1986,3,1980,1985
12,"Bars, Ladders and Fences",1987,3,1980,1985
13,"Bars, Ladders and Fences",1988,1,1980,1985
14,"Bars, Ladders and Fences",1989,1,1980,1985
15,"Bars, Ladders and Fences",1990,2,1990,1990
16,"Bars, Ladders and Fences",1992,4,1990,1990
17,"Bars, Ladders and Fences",1994,4,1990,1990
18,"Bars, Ladders and Fences",1995,1,1990,1995
19,"Bars, Ladders and Fences",1996,5,1990,1995
20,"Bars, Ladders and Fences",1997,3,1990,1995
21,"Bars, Ladders and Fences",1999,3,1990,1995
22,"Bars, Ladders and Fences",2000,1,2000,2000
23,"Bars, Ladders and Fences",2001,4,2000,2000
24,"Bars, Ladders and Fences",2002,3,2000,2000
25,"Bars, Ladders and Fences",2004,4,2000,2000
26,"Bars, Ladders and Fences",2007,3,2000,2005
27,"Bars, Ladders and Fences",2008,5,2000,2005
28,"Bars, Ladders and Fences",2009,1,2000,2005
29,"Bars, Ladders and Fences",2010,4,2010,2010
30,"Bars, Ladders and Fences",2011,4,2010,2010
31,"Bars, Ladders and Fences",2012,4,2010,2010
32,"Bars, Ladders and Fences",2013,3,2010,2010
33,"Bars, Ladders and Fences",2014,1,2010,2010
34,"Bars, Ladders and Fences",2015,2,2010,2015
35,"Bars, Ladders and Fences",2016,5,2010,2015
36,"Bars, Ladders and Fences",2017,3,2010,2015
37,"Bars, Ladders and Fences",2018,2,2010,2015
38,"Bars, Ladders and Fences",2019,1,2010,2015
39,"Bars, Ladders and Fences",2020,3,2020,2020
40,"Bars, Ladders and Fences",2021,3,2020,2020
41,"Bars, Ladders and Fences",2022,1,2020,2020
42,"Bars, Ladders and Fences",2023,5,2020,2020
43,Baseplates,1955,1,1950,1955
44,Baseplates,1963,1,1960,1960
45,Baseplates,1964,1,1960,1960
46,Baseplates,1967,5,1960,1965
47,Baseplates,1968,3,1960,1965
48,Baseplates,1969,4,1960,1965
49,Baseplates,1970,1,1970,1970
50,Baseplates,1971,9,1970,1970
51,Baseplates,1972,6,1970,1970
52,Baseplates,1973,3,1970,1970
53,Baseplates,1974,5,1970,1970
54,Baseplates,1975,3,1970,1975
55,Baseplates,1976,4,1970,1975
56,Baseplates,1977,3,1970,1975
57,Baseplates,1978,10,1970,1975
58,Baseplates,1979,4,1970,1975
59,Baseplates,1980,3,1980,1980
60,Baseplates,1981,5,1980,1980
61,Baseplates,1982,1,1980,1980
62,Baseplates,1983,5,1980,1980
63,Baseplates,1984,1,1980,1980
64,Baseplates,1985,4,1980,1985
65,Baseplates,1986,6,1980,1985
66,Baseplates,1987,4,1980,1985
67,Baseplates,1989,3,1980,1985
68,Baseplates,1990,10,1990,1990
69,Baseplates,1991,7,1990,1990
70,Baseplates,1992,4,1990,1990
71,Baseplates,1993,3,1990,1990
72,Baseplates,1994,5,1990,1990
73,Baseplates,1995,4,1990,1995
74,Baseplates,1996,5,1990,1995
75,Baseplates,1997,6,1990,1995
76,Baseplates,1998,11,1990,1995
77,Baseplates,1999,6,1990,1995
78,Baseplates,2000,12,2000,2000
79,Baseplates,2001,2,2000,2000
80,Baseplates,2002,9,2000,2000
81,Baseplates,2003,9,2000,2000
82,Baseplates,2004,6,2000,2000
83,Baseplates,2005,6,2000,2005
84,Baseplates,2006,2,2000,2005
85,Baseplates,2007,4,2000,2005
86,Baseplates,2008,1,2000,2005
87,Baseplates,2009,1,2000,2005
88,Baseplates,2012,1,2010,2010
89,Baseplates,2017,10,2010,2015
90,Baseplates,2018,6,2010,2015
91,"Belville, Scala and Fabuland",1979,23,1970,1975
92,"Belville, Scala and Fabuland",1980,12,1980,1980
93,"Belville, Scala and Fabuland",1981,3,1980,1980
94,"Belville, Scala and Fabuland",1982,22,1980,1980
95,"Belville, Scala and Fabuland",1983,7,1980,1980
96,"Belville, Scala and Fabuland",1984,11,1980,1980
97,"Belville, Scala and Fabuland",1985,10,1980,1985
98,"Belville, Scala and Fabuland",1986,4,1980,1985
99,"Belville, Scala and Fabuland",1987,8,1980,1985
100,"Belville, Scala and Fabuland",1988,8,1980,1985
101,"Belville, Scala and Fabuland",1994,26,1990,1990
102,"Belville, Scala and Fabuland",1995,1,1990,1995
103,"Belville, Scala and Fabuland",1996,13,1990,1995
104,"Belville, Scala and Fabuland",1997,170,1990,1995
105,"Belville, Scala and Fabuland",1998,66,1990,1995
106,"Belville, Scala and Fabuland",1999,72,1990,1995
107,"Belville, Scala and Fabuland",2000,78,2000,2000
108,"Belville, Scala and Fabuland",2001,30,2000,2000
109,"Belville, Scala and Fabuland",2002,9,2000,2000
110,"Belville, Scala and Fabuland",2003,25,2000,2000
111,"Belville, Scala and Fabuland",2004,16,2000,2000
112,"Belville, Scala and Fabuland",2005,12,2000,2005
113,"Belville, Scala and Fabuland",2006,6,2000,2005
114,"Belville, Scala and Fabuland",2007,8,2000,2005
115,"Belville, Scala and Fabuland",2008,7,2000,2005
116,Bricks,1949,4,1940,1945
117,Bricks,1953,4,1950,1950
118,Bricks,1954,13,1950,1950
119,Bricks,1955,27,1950,1955
120,Bricks,1956,5,1950,1955
121,Bricks,1957,21,1950,1955
122,Bricks,1958,104,1950,1955
123,Bricks,1959,1,1950,1955
124,Bricks,1960,10,1960,1960
125,Bricks,1963,4,1960,1960
126,Bricks,1965,160,1960,1965
127,Bricks,1966,38,1960,1965
128,Bricks,1967,10,1960,1965
129,Bricks,1968,6,1960,1965
130,Bricks,1969,69,1960,1965
131,Bricks,1970,9,1970,1970
132,Bricks,1971,16,1970,1970
133,Bricks,1972,9,1970,1970
134,Bricks,1973,4,1970,1970
135,Bricks,1974,1,1970,1970
136,Bricks,1975,2,1970,1975
137,Bricks,1976,7,1970,1975
138,Bricks,1977,3,1970,1975
139,Bricks,1978,9,1970,1975
140,Bricks,1979,15,1970,1975
141,Bricks,1980,3,1980,1980
142,Bricks,1981,12,1980,1980
143,Bricks,1982,3,1980,1980
144,Bricks,1984,3,1980,1980
145,Bricks,1985,15,1980,1985
146,Bricks,1986,12,1980,1985
147,Bricks,1987,12,1980,1985
148,Bricks,1988,12,1980,1985
149,Bricks,1989,2,1980,1985
150,Bricks,1990,3,1990,1990
151,Bricks,1991,1,1990,1990
152,Bricks,1992,2,1990,1990
153,Bricks,1993,4,1990,1990
154,Bricks,1994,1,1990,1990
155,Bricks,1995,18,1990,1995
156,Bricks,1996,3,1990,1995
157,Bricks,1997,21,1990,1995
158,Bricks,1998,31,1990,1995
159,Bricks,1999,15,1990,1995
160,Bricks,2000,13,2000,2000
161,Bricks,2001,12,2000,2000
162,Bricks,2002,13,2000,2000
163,Bricks,2003,8,2000,2000
164,Bricks,2004,4,2000,2000
165,Bricks,2005,3,2000,2005
166,Bricks,2006,4,2000,2005
167,Bricks,2007,6,2000,2005
168,Bricks,2008,6,2000,2005
169,Bricks,2009,34,2000,2005
170,Bricks,2010,17,2010,2010
171,Bricks,2011,66,2010,2010
172,Bricks,2012,16,2010,2010
173,Bricks,2013,21,2010,2010
174,Bricks,2014,17,2010,2010
175,Bricks,2015,16,2010,2015
176,Bricks,2016,33,2010,2015
177,Bricks,2017,45,2010,2015
178,Bricks,2018,98,2010,2015
179,Bricks,2019,69,2010,2015
180,Bricks,2020,49,2020,2020
181,Bricks,2021,40,2020,2020
182,Bricks,2022,46,2020,2020
183,Bricks,2023,40,2020,2020
184,Bricks Curved,1970,1,1970,1970
185,Bricks Curved,1971,2,1970,1970
186,Bricks Curved,1972,1,1970,1970
187,Bricks Curved,1973,1,1970,1970
188,Bricks Curved,1976,1,1970,1975
189,Bricks Curved,1980,1,1980,1980
190,Bricks Curved,1981,1,1980,1980
191,Bricks Curved,1983,2,1980,1980
192,Bricks Curved,1984,1,1980,1980
193,Bricks Curved,1985,2,1980,1985
194,Bricks Curved,1986,2,1980,1985
195,Bricks Curved,1989,1,1980,1985
196,Bricks Curved,1990,1,1990,1990
197,Bricks Curved,1992,7,1990,1990
198,Bricks Curved,1993,12,1990,1990
199,Bricks Curved,1994,11,1990,1990
200,Bricks Curved,1995,16,1990,1995
201,Bricks Curved,1997,11,1990,1995
202,Bricks Curved,1998,6,1990,1995
203,Bricks Curved,1999,10,1990,1995
204,Bricks Curved,2000,8,2000,2000
205,Bricks Curved,2001,20,2000,2000
206,Bricks Curved,2002,26,2000,2000
207,Bricks Curved,2003,23,2000,2000
208,Bricks Curved,2004,16,2000,2000
209,Bricks Curved,2005,6,2000,2005
210,Bricks Curved,2006,2,2000,2005
211,Bricks Curved,2007,1,2000,2005
212,Bricks Curved,2008,4,2000,2005
213,Bricks Curved,2009,4,2000,2005
214,Bricks Curved,2010,1,2010,2010
215,Bricks Curved,2011,15,2010,2010
216,Bricks Curved,2012,4,2010,2010
217,Bricks Curved,2013,5,2010,2010
218,Bricks Curved,2014,23,2010,2010
219,Bricks Curved,2015,9,2010,2015
220,Bricks Curved,2016,17,2010,2015
221,Bricks Curved,2017,40,2010,2015
222,Bricks Curved,2018,37,2010,2015
223,Bricks Curved,2019,31,2010,2015
224,Bricks Curved,2020,35,2020,2020
225,Bricks Curved,2021,42,2020,2020
226,Bricks Curved,2022,65,2020,2020
227,Bricks Curved,2023,41,2020,2020
228,Bricks Round and Cones,1955,6,1950,1955
229,Bricks Round and Cones,1964,1,1960,1960
230,Bricks Round and Cones,1973,1,1970,1970
231,Bricks Round and Cones,1978,1,1970,1975
232,Bricks Round and Cones,1979,3,1970,1975
233,Bricks Round and Cones,1980,1,1980,1980
234,Bricks Round and Cones,1983,1,1980,1980
235,Bricks Round and Cones,1984,2,1980,1980
236,Bricks Round and Cones,1985,4,1980,1985
237,Bricks Round and Cones,1986,2,1980,1985
238,Bricks Round and Cones,1990,2,1990,1990
239,Bricks Round and Cones,1993,1,1990,1990
240,Bricks Round and Cones,1994,2,1990,1990
241,Bricks Round and Cones,1995,6,1990,1995
242,Bricks Round and Cones,1998,4,1990,1995
243,Bricks Round and Cones,1999,4,1990,1995
244,Bricks Round and Cones,2000,3,2000,2000
245,Bricks Round and Cones,2002,5,2000,2000
246,Bricks Round and Cones,2003,4,2000,2000
247,Bricks Round and Cones,2004,7,2000,2000
248,Bricks Round and Cones,2005,1,2000,2005
249,Bricks Round and Cones,2006,3,2000,2005
250,Bricks Round and Cones,2007,5,2000,2005
251,Bricks Round and Cones,2008,2,2000,2005
252,Bricks Round and Cones,2009,8,2000,2005
253,Bricks Round and Cones,2010,8,2010,2010
254,Bricks Round and Cones,2011,14,2010,2010
255,Bricks Round and Cones,2012,11,2010,2010
256,Bricks Round and Cones,2013,10,2010,2010
257,Bricks Round and Cones,2014,4,2010,2010
258,Bricks Round and Cones,2015,7,2010,2015
259,Bricks Round and Cones,2016,9,2010,2015
260,Bricks Round and Cones,2017,15,2010,2015
261,Bricks Round and Cones,2018,9,2010,2015
262,Bricks Round and Cones,2019,34,2010,2015
263,Bricks Round and Cones,2020,28,2020,2020
264,Bricks Round and Cones,2021,12,2020,2020
265,Bricks Round and Cones,2022,22,2020,2020
266,Bricks Round and Cones,2023,10,2020,2020
267,Bricks Sloped,1957,5,1950,1955
268,Bricks Sloped,1958,4,1950,1955
269,Bricks Sloped,1959,4,1950,1955
270,Bricks Sloped,1969,1,1960,1965
271,Bricks Sloped,1970,3,1970,1970
272,Bricks Sloped,1971,4,1970,1970
273,Bricks Sloped,1973,1,1970,1970
274,Bricks Sloped,1975,1,1970,1975
275,Bricks Sloped,1976,3,1970,1975
276,Bricks Sloped,1977,2,1970,1975
277,Bricks Sloped,1978,5,1970,1975
278,Bricks Sloped,1979,7,1970,1975
279,Bricks Sloped,1980,5,1980,1980
280,Bricks Sloped,1981,3,1980,1980
281,Bricks Sloped,1982,3,1980,1980
282,Bricks Sloped,1983,6,1980,1980
283,Bricks Sloped,1984,5,1980,1980
284,Bricks Sloped,1985,12,1980,1985
285,Bricks Sloped,1986,4,1980,1985
286,Bricks Sloped,1987,6,1980,1985
287,Bricks Sloped,1988,3,1980,1985
288,Bricks Sloped,1989,2,1980,1985
289,Bricks Sloped,1990,3,1990,1990
290,Bricks Sloped,1991,1,1990,1990
291,Bricks Sloped,1992,5,1990,1990
292,Bricks Sloped,1993,4,1990,1990
293,Bricks Sloped,1994,7,1990,1990
294,Bricks Sloped,1995,14,1990,1995
295,Bricks Sloped,1996,22,1990,1995
296,Bricks Sloped,1997,17,1990,1995
297,Bricks Sloped,1998,32,1990,1995
298,Bricks Sloped,1999,30,1990,1995
299,Bricks Sloped,2000,8,2000,2000
300,Bricks Sloped,2001,27,2000,2000
301,Bricks Sloped,2002,17,2000,2000
302,Bricks Sloped,2003,21,2000,2000
303,Bricks Sloped,2004,9,2000,2000
304,Bricks Sloped,2005,7,2000,2005
305,Bricks Sloped,2006,3,2000,2005
306,Bricks Sloped,2007,6,2000,2005
307,Bricks Sloped,2008,3,2000,2005
308,Bricks Sloped,2009,3,2000,2005
309,Bricks Sloped,2010,4,2010,2010
310,Bricks Sloped,2011,12,2010,2010
311,Bricks Sloped,2012,4,2010,2010
312,Bricks Sloped,2013,3,2010,2010
313,Bricks Sloped,2014,2,2010,2010
314,Bricks Sloped,2015,4,2010,2015
315,Bricks Sloped,2016,9,2010,2015
316,Bricks Sloped,2017,18,2010,2015
317,Bricks Sloped,2018,10,2010,2015
318,Bricks Sloped,2019,11,2010,2015
319,Bricks Sloped,2020,11,2020,2020
320,Bricks Sloped,2021,20,2020,2020
321,Bricks Sloped,2022,14,2020,2020
322,Bricks Sloped,2023,6,2020,2020
323,Bricks Special,1957,1,1950,1955
324,Bricks Special,1970,1,1970,1970
325,Bricks Special,1973,1,1970,1970
326,Bricks Special,1975,1,1970,1975
327,Bricks Special,1980,2,1980,1980
328,Bricks Special,1981,2,1980,1980
329,Bricks Special,1985,5,1980,1985
330,Bricks Special,1986,3,1980,1985
331,Bricks Special,1987,2,1980,1985
332,Bricks Special,1988,1,1980,1985
333,Bricks Special,1990,5,1990,1990
334,Bricks Special,1991,4,1990,1990
335,Bricks Special,1992,2,1990,1990
336,Bricks Special,1994,1,1990,1990
337,Bricks Special,1995,8,1990,1995
338,Bricks Special,1996,2,1990,1995
339,Bricks Special,1999,3,1990,1995
340,Bricks Special,2000,5,2000,2000
341,Bricks Special,2001,20,2000,2000
342,Bricks Special,2003,2,2000,2000
343,Bricks Special,2004,9,2000,2000
344,Bricks Special,2005,4,2000,2005
345,Bricks Special,2008,2,2000,2005
346,Bricks Special,2009,3,2000,2005
347,Bricks Special,2010,4,2010,2010
348,Bricks Special,2011,1,2010,2010
349,Bricks Special,2012,3,2010,2010
350,Bricks Special,2013,1,2010,2010
351,Bricks Special,2014,5,2010,2010
352,Bricks Special,2015,7,2010,2015
353,Bricks Special,2016,4,2010,2015
354,Bricks Special,2017,7,2010,2015
355,Bricks Special,2018,5,2010,2015
356,Bricks Special,2019,6,2010,2015
357,Bricks Special,2020,45,2020,2020
358,Bricks Special,2021,10,2020,2020
359,Bricks Special,2022,13,2020,2020
360,Bricks Special,2023,6,2020,2020
361,Bricks Wedged,1985,3,1980,1985
362,Bricks Wedged,1986,1,1980,1985
363,Bricks Wedged,1987,2,1980,1985
364,Bricks Wedged,1988,1,1980,1985
365,Bricks Wedged,1991,3,1990,1990
366,Bricks Wedged,1992,4,1990,1990
367,Bricks Wedged,1993,1,1990,1990
368,Bricks Wedged,1994,4,1990,1990
369,Bricks Wedged,1995,1,1990,1995
370,Bricks Wedged,1996,3,1990,1995
371,Bricks Wedged,1997,3,1990,1995
372,Bricks Wedged,1998,6,1990,1995
373,Bricks Wedged,1999,6,1990,1995
374,Bricks Wedged,2000,2,2000,2000
375,Bricks Wedged,2001,2,2000,2000
376,Bricks Wedged,2002,39,2000,2000
377,Bricks Wedged,2003,23,2000,2000
378,Bricks Wedged,2004,26,2000,2000
379,Bricks Wedged,2005,8,2000,2005
380,Bricks Wedged,2006,4,2000,2005
381,Bricks Wedged,2007,4,2000,2005
382,Bricks Wedged,2009,4,2000,2005
383,Bricks Wedged,2010,5,2010,2010
384,Bricks Wedged,2011,20,2010,2010
385,Bricks Wedged,2012,17,2010,2010
386,Bricks Wedged,2013,3,2010,2010
387,Bricks Wedged,2014,7,2010,2010
388,Bricks Wedged,2015,4,2010,2015
389,Bricks Wedged,2016,4,2010,2015
390,Bricks Wedged,2017,10,2010,2015
391,Bricks Wedged,2018,7,2010,2015
392,Bricks Wedged,2019,12,2010,2015
393,Bricks Wedged,2020,7,2020,2020
394,Bricks Wedged,2021,8,2020,2020
395,Bricks Wedged,2022,7,2020,2020
396,Bricks Wedged,2023,5,2020,2020
397,Clikits,2003,141,2000,2000
398,Clikits,2004,105,2000,2000
399,Clikits,2005,119,2000,2005
400,Clikits,2006,46,2000,2005
401,Containers,1957,1,1950,1955
402,Containers,1962,1,1960,1960
403,Containers,1971,10,1970,1970
404,Containers,1980,3,1980,1980
405,Containers,1981,4,1980,1980
406,Containers,1982,2,1980,1980
407,Containers,1983,10,1980,1980
408,Containers,1985,3,1980,1985
409,Containers,1987,2,1980,1985
410,Containers,1988,2,1980,1985
411,Containers,1989,1,1980,1985
412,Containers,1990,1,1990,1990
413,Containers,1991,3,1990,1990
414,Containers,1994,6,1990,1990
415,Containers,1996,5,1990,1995
416,Containers,1997,4,1990,1995
417,Containers,1998,7,1990,1995
418,Containers,1999,2,1990,1995
419,Containers,2000,6,2000,2000
420,Containers,2001,4,2000,2000
421,Containers,2002,4,2000,2000
422,Containers,2003,2,2000,2000
423,Containers,2004,6,2000,2000
424,Containers,2005,1,2000,2005
425,Containers,2008,1,2000,2005
426,Containers,2009,3,2000,2005
427,Containers,2011,4,2010,2010
428,Containers,2012,1,2010,2010
429,Containers,2013,2,2010,2010
430,Containers,2014,2,2010,2010
431,Containers,2015,1,2010,2015
432,Containers,2016,3,2010,2015
433,Containers,2017,8,2010,2015
434,Containers,2018,20,2010,2015
435,Containers,2019,11,2010,2015
436,Containers,2020,6,2020,2020
437,Containers,2021,14,2020,2020
438,Containers,2022,5,2020,2020
439,Containers,2023,1,2020,2020
440,"Duplo, Quatro and Primo",1964,1,1960,1960
441,"Duplo, Quatro and Primo",1966,1,1960,1965
442,"Duplo, Quatro and Primo",1972,3,1970,1970
443,"Duplo, Quatro and Primo",1973,1,1970,1970
444,"Duplo, Quatro and Primo",1976,69,1970,1975
445,"Duplo, Quatro and Primo",1980,4,1980,1980
446,"Duplo, Quatro and Primo",1982,5,1980,1980
447,"Duplo, Quatro and Primo",1985,169,1980,1985
448,"Duplo, Quatro and Primo",1986,121,1980,1985
449,"Duplo, Quatro and Primo",1987,145,1980,1985
450,"Duplo, Quatro and Primo",1988,191,1980,1985
451,"Duplo, Quatro and Primo",1989,14,1980,1985
452,"Duplo, Quatro and Primo",1990,29,1990,1990
453,"Duplo, Quatro and Primo",1991,12,1990,1990
454,"Duplo, Quatro and Primo",1992,21,1990,1990
455,"Duplo, Quatro and Primo",1993,30,1990,1990
456,"Duplo, Quatro and Primo",1994,102,1990,1990
457,"Duplo, Quatro and Primo",1995,136,1990,1995
458,"Duplo, Quatro and Primo",1996,11,1990,1995
459,"Duplo, Quatro and Primo",1997,109,1990,1995
460,"Duplo, Quatro and Primo",1998,101,1990,1995
461,"Duplo, Quatro and Primo",1999,83,1990,1995
462,"Duplo, Quatro and Primo",2000,37,2000,2000
463,"Duplo, Quatro and Primo",2001,108,2000,2000
464,"Duplo, Quatro and Primo",2002,67,2000,2000
465,"Duplo, Quatro and Primo",2003,91,2000,2000
466,"Duplo, Quatro and Primo",2004,85,2000,2000
467,"Duplo, Quatro and Primo",2005,64,2000,2005
468,"Duplo, Quatro and Primo",2006,34,2000,2005
469,"Duplo, Quatro and Primo",2007,63,2000,2005
470,"Duplo, Quatro and Primo",2008,43,2000,2005
471,"Duplo, Quatro and Primo",2009,32,2000,2005
472,"Duplo, Quatro and Primo",2010,54,2010,2010
473,"Duplo, Quatro and Primo",2011,48,2010,2010
474,"Duplo, Quatro and Primo",2012,64,2010,2010
475,"Duplo, Quatro and Primo",2013,32,2010,2010
476,"Duplo, Quatro and Primo",2014,73,2010,2010
477,"Duplo, Quatro and Primo",2015,60,2010,2015
478,"Duplo, Quatro and Primo",2016,36,2010,2015
479,"Duplo, Quatro and Primo",2017,116,2010,2015
480,"Duplo, Quatro and Primo",2018,75,2010,2015
481,"Duplo, Quatro and Primo",2019,42,2010,2015
482,"Duplo, Quatro and Primo",2020,65,2020,2020
483,"Duplo, Quatro and Primo",2021,70,2020,2020
484,"Duplo, Quatro and Primo",2022,59,2020,2020
485,"Duplo, Quatro and Primo",2023,118,2020,2020
486,Electronics,1957,2,1950,1955
487,Electronics,1965,2,1960,1965
488,Electronics,1966,5,1960,1965
489,Electronics,1967,2,1960,1965
490,Electronics,1968,6,1960,1965
491,Electronics,1969,22,1960,1965
492,Electronics,1970,6,1970,1970
493,Electronics,1972,3,1970,1970
494,Electronics,1974,5,1970,1970
495,Electronics,1976,6,1970,1975
496,Electronics,1977,7,1970,1975
497,Electronics,1978,2,1970,1975
498,Electronics,1979,2,1970,1975
499,Electronics,1980,24,1980,1980
500,Electronics,1981,4,1980,1980
501,Electronics,1982,3,1980,1980
502,Electronics,1983,5,1980,1980
503,Electronics,1984,1,1980,1980
504,Electronics,1985,5,1980,1985
505,Electronics,1986,14,1980,1985
506,Electronics,1987,5,1980,1985
507,Electronics,1988,4,1980,1985
508,Electronics,1989,7,1980,1985
509,Electronics,1990,7,1990,1990
510,Electronics,1991,12,1990,1990
511,Electronics,1992,8,1990,1990
512,Electronics,1993,5,1990,1990
513,Electronics,1994,1,1990,1990
514,Electronics,1995,8,1990,1995
515,Electronics,1996,5,1990,1995
516,Electronics,1997,5,1990,1995
517,Electronics,1998,17,1990,1995
518,Electronics,1999,9,1990,1995
519,Electronics,2000,5,2000,2000
520,Electronics,2001,6,2000,2000
521,Electronics,2002,16,2000,2000
522,Electronics,2003,9,2000,2000
523,Electronics,2004,8,2000,2000
524,Electronics,2005,2,2000,2005
525,Electronics,2006,28,2000,2005
526,Electronics,2007,10,2000,2005
527,Electronics,2008,14,2000,2005
528,Electronics,2009,8,2000,2005
529,Electronics,2010,10,2010,2010
530,Electronics,2011,4,2010,2010
531,Electronics,2012,2,2010,2010
532,Electronics,2013,12,2010,2010
533,Electronics,2015,33,2010,2015
534,Electronics,2016,37,2010,2015
535,Electronics,2017,17,2010,2015
536,Electronics,2018,4,2010,2015
537,Electronics,2019,5,2010,2015
538,Electronics,2020,14,2020,2020
539,Electronics,2021,6,2020,2020
540,Electronics,2022,1,2020,2020
541,"Flags, Signs, Plastics and Cloth",1955,18,1950,1955
542,"Flags, Signs, Plastics and Cloth",1956,1,1950,1955
543,"Flags, Signs, Plastics and Cloth",1957,6,1950,1955
544,"Flags, Signs, Plastics and Cloth",1958,5,1950,1955
545,"Flags, Signs, Plastics and Cloth",1961,5,1960,1960
546,"Flags, Signs, Plastics and Cloth",1962,8,1960,1960
547,"Flags, Signs, Plastics and Cloth",1963,5,1960,1960
548,"Flags, Signs, Plastics and Cloth",1966,31,1960,1965
549,"Flags, Signs, Plastics and Cloth",1969,10,1960,1965
550,"Flags, Signs, Plastics and Cloth",1970,1,1970,1970
551,"Flags, Signs, Plastics and Cloth",1971,1,1970,1970
552,"Flags, Signs, Plastics and Cloth",1972,7,1970,1970
553,"Flags, Signs, Plastics and Cloth",1973,1,1970,1970
554,"Flags, Signs, Plastics and Cloth",1974,1,1970,1970
555,"Flags, Signs, Plastics and Cloth",1975,1,1970,1975
556,"Flags, Signs, Plastics and Cloth",1976,2,1970,1975
557,"Flags, Signs, Plastics and Cloth",1978,1,1970,1975
558,"Flags, Signs, Plastics and Cloth",1979,2,1970,1975
559,"Flags, Signs, Plastics and Cloth",1980,8,1980,1980
560,"Flags, Signs, Plastics and Cloth",1981,2,1980,1980
561,"Flags, Signs, Plastics and Cloth",1984,1,1980,1980
562,"Flags, Signs, Plastics and Cloth",1985,1,1980,1985
563,"Flags, Signs, Plastics and Cloth",1986,4,1980,1985
564,"Flags, Signs, Plastics and Cloth",1987,1,1980,1985
565,"Flags, Signs, Plastics and Cloth",1988,3,1980,1985
566,"Flags, Signs, Plastics and Cloth",1989,11,1980,1985
