Task,Start,End,Duration,set_num_sumcat2,bin_labels
Other,1955,2023,68,200,100-500
Technic,1965,2023,58,545,500-1000
Promotional,1969,2023,54,212,100-500
Duplo,1972,2023,51,130,100-500
Seasonal,1977,2023,46,253,100-500
Value Packs,1988,2023,35,19,20-50
LEGO Brand Store,1992,2023,31,389,100-500
Advent,1998,2023,25,41,20-50
Creator,1999,2023,24,477,100-500
Disney,1999,2023,24,1506,1000+
Universal Pictures,2001,2023,22,111,100-500
Warner,2001,2023,22,477,100-500
Lego_movie_brand,2002,2023,21,710,500-1000
City,2004,2023,19,845,500-1000
LEGO Exclusive,2005,2023,18,57,50-100
Nickelodeon,2006,2023,17,46,20-50
Modular Buildings,2007,2023,16,19,20-50
LEGO Ideas and CUUSOO,2011,2023,12,65,50-100
Friends,2012,2023,11,545,500-1000
GAME,2013,2023,10,271,100-500
LEGO,2013,2023,10,59,50-100
Classic,2015,2023,8,66,50-100
Speed Champions,2015,2023,8,65,50-100
Brickheadz,2016,2023,7,150,100-500
Chinese Traditional Festivals,2018,2023,5,25,20-50
BrickLink Designer Program,2019,2023,4,28,20-50
DOTS,2020,2023,3,92,50-100
Icons,2020,2023,3,38,20-50
LEGO Art,2020,2023,3,13,20-50
Dreamzzz,2023,2023,1,12,20-50
Sega,2023,2023,1,4,<10
Educational and Dacta,1960,2022,62,665,500-1000
FIRST LEGO League,2000,2022,22,89,50-100
Legoland Parks,2000,2022,22,55,50-100
Christmas,2003,2022,19,32,20-50
Architecture,2008,2022,14,59,50-100
Brick Sketches,2020,2022,2,8,<10
Mindstorms,1996,2021,25,140,100-500
Power Functions,2008,2021,13,32,20-50
Xtra,2018,2021,3,19,20-50
LEGO Originals,2019,2021,2,21,20-50
cc,2021,2021,1,50,50-100
Collectible Minifigures,2008,2020,12,39,20-50
Hidden Side,2019,2020,1,32,20-50
Forma,2019,2019,1,4,<10
Netflix,2019,2019,1,3,<10
Juniors,2013,2018,5,40,20-50
Elves,2015,2018,3,42,20-50
Nexo Knights,2016,2018,2,111,100-500
Cartoon Network,2018,2018,1,2,<10
Ninjago,2017,2018,1,35,20-50
Dimensions,2015,2017,2,68,50-100
Castle,1978,2016,38,265,100-500
Sculptures,2000,2016,16,10,20-50
Bionicle,2001,2016,15,458,100-500
Mixels,2014,2016,2,121,100-500
Rovio Entertainment 1,2016,2016,1,6,<10
Sony,2016,2016,1,2,<10
Service Packs,1970,2015,45,781,500-1000
Space,1979,2015,36,322,100-500
Pirates,1989,2015,26,91,50-100
Agents,2008,2015,7,28,20-50
Make & Create,2003,2014,11,118,100-500
Hero Factory,2010,2014,4,111,100-500
Fusion,2014,2014,1,4,<10
Legends of Chima,2013,2014,1,46,20-50
Games,2009,2013,4,47,20-50
Master Builder Academy,2011,2013,2,21,20-50
Racers,1998,2012,14,284,100-500
Dino,2012,2012,1,7,<10
Monster Fighters,2012,2012,1,14,20-50
Pharaoh's Quest,2011,2011,1,9,<10
Power Miners,2009,2010,1,23,20-50
Ubisoft,2010,2010,1,6,<10
Universe,2010,2010,1,2,<10
Train,1966,2009,43,244,100-500
Exo-Force,2006,2009,3,52,50-100
Town,1969,2008,39,676,500-1000
Belville,1994,2008,14,88,50-100
Factory,2005,2008,3,7,<10
Speed Racer,2008,2008,1,4,<10
Aquazone,1995,2007,12,37,20-50
Sports,1998,2007,9,173,100-500
Bulk Bricks,2000,2006,6,136,100-500
Clikits,2003,2006,3,83,50-100
Quatro,2004,2006,2,11,20-50
X-Pod,2004,2006,2,24,20-50
Dino 2010,2005,2006,1,6,<10
Dino Attack,2005,2006,1,6,<10
Vikings,2005,2006,1,8,<10
Primo,1995,2005,10,136,100-500
Designer Sets,2003,2005,2,47,20-50
Model Team,1986,2004,18,16,20-50
4 Juniors,2001,2004,3,51,50-100
Alpha Team,2001,2004,3,31,20-50
Hobby Sets,1975,2003,28,9,<10
Adventurers,1998,2003,5,83,50-100
Discovery,2003,2003,1,8,<10
Inventor,2003,2003,1,4,<10
Island Xtreme Stunts,2002,2003,1,13,20-50
Universal Building Set,1969,2002,33,411,100-500
Western,1996,2002,6,22,20-50
Studios,2000,2002,2,53,50-100
Spybotics,2002,2002,1,4,<10
Scala,1979,2001,22,73,50-100
Dinosaurs,2001,2001,1,17,20-50
Ninja,1998,2000,2,31,20-50
Rock Raiders,1999,2000,1,17,20-50
McDonaldâ€™s Corporation,1983,1999,16,19,20-50
Znap,1998,1999,1,19,20-50
Freestyle,1995,1998,3,64,50-100
Time Cruisers,1996,1997,1,9,<10
Boat,1973,1996,23,21,20-50
Fabuland,1979,1989,10,105,100-500
Homemaker,1971,1982,11,32,20-50
Legoland,1969,1978,9,172,100-500
Building Set with People,1974,1978,4,30,20-50
Minitalia,1970,1977,7,19,20-50
System,1949,1971,22,464,100-500
Modulex,1963,1963,1,34,20-50
